cluster,size,TOA_ns,Freq_MHz,PW_ns,Az_deg,El_deg
0,10,58003209.1,6044.99246,5034.92126,4.31491,7.07333
1,572,28131308.12,5899.755749,4000.148258,19.82955507,7.948958741
2,13,48467757.77,5924.5888,4554.9359,-1.686930769,18.03922308
3,445,72672177.07,6098.765075,4001.030135,-25.02580382,15.04055079
4,13,48916118.23,6021.4237,3393.831315,-0.5336923077,6.553307692
5,16,67720957.25,5935.127525,4103.611294,-14.96159375,-1.8169625
6,375,23040134.89,6098.452515,4001.166159,-25.49461893,15.11419973
7,442,78118296.96,5901.9688,3998.891498,20.250769,7.955104072
8,14,71408725.64,5944.870564,3820.924,3.572135714,27.87715
